Year,Est total catch,Tags released
2016,38955,47127
2017,102961,83459
2018,161100,104674
2019,45321,41593
2020,71740,53429
2021,88900,68129
2022,41090,43025
2023,18405,20033
2024,29978,24719
2025,44341,50281
